t,z(t),v(t),a(t) (added)
9.240022,-1.530625,-0.3170069,153.0625
9.260022,-1.536353,-0.2863944,153.6353
9.280023,-1.541466,-0.2556674,154.1467
9.300023,-1.545963,-0.2248381,154.5963
9.320024,-1.549842,-0.1939188,154.9842
9.340024,-1.5531,-0.162922,155.31
9.360024,-1.555737,-0.13186,155.5737
9.380025,-1.557752,-0.1007452,155.7752
9.400025,-1.559144,-0.06959017,155.9144
9.420026,-1.559912,-0.0384073,155.9912
9.440026,-1.560056,-0.007209064,156.0056
9.460027,-1.559576,0.02399205,155.9576
9.480027,-1.558473,0.05518357,155.8473
9.500028,-1.556746,0.08635301,155.6746
9.520028,-1.554396,0.1174879,155.4396
9.540029,-1.551424,0.1485758,155.1424
9.560029,-1.547832,0.1796043,154.7832
9.580029,-1.543621,0.2105609,154.3621
9.60003,-1.538792,0.2414333,153.8792
9.62003,-1.533348,0.2722092,153.3348
9.640031,-1.527291,0.3028762,152.7291
9.660031,-1.520622,0.333422,152.0622
9.680032,-1.513346,0.3638344,151.3346
9.700032,-1.505464,0.3941013,150.5464
9.720033,-1.496979,0.4242106,149.6979
9.740033,-1.487896,0.4541502,148.7896
9.760034,-1.478218,0.4839081,147.8218
9.780034,-1.467949,0.5134724,146.7949
9.800035,-1.457092,0.5428314,145.7092
9.820035,-1.445653,0.5719733,144.5653
9.840035,-1.433635,0.6008863,143.3635
9.860036,-1.421044,0.629559,142.1044
9.880036,-1.407884,0.6579799,140.7884
9.900037,-1.394161,0.6861376,139.4162
9.920037,-1.379881,0.7140208,137.9881
9.940038,-1.365049,0.7416185,136.5049
9.960038,-1.34967,0.7689194,134.967
9.980039,-1.333752,0.7959128,133.3752
10.00004,-1.3173,0.8225878,131.73
10.02004,-1.300322,0.8489339,130.0322
10.04004,-1.282823,0.8749403,128.2823
10.06004,-1.264811,0.9005967,126.4811
10.08004,-1.246293,0.9258929,124.6293
10.10004,-1.227277,0.9508188,122.7277
10.12004,-1.207769,0.9753643,120.7769
10.14004,-1.187779,0.9995197,118.7779
10.16004,-1.167313,1.023275,116.7313
10.18004,-1.146381,1.046622,114.6381
10.20004,-1.12499,1.069549,112.499
10.22004,-1.103149,1.092049,110.3149
10.24004,-1.080867,1.114112,108.0867
10.26005,-1.058152,1.135729,105.8152
10.28005,-1.035014,1.156892,103.5014
10.30005,-1.011463,1.177593,101.1463
10.32005,-0.9875062,1.197822,98.75062
10.34005,-0.9631547,1.217572,96.31548
10.36005,-0.938418,1.236835,93.8418
10.38005,-0.9133059,1.255603,91.3306
10.40005,-0.8878285,1.27387,88.78285
10.42005,-0.861996,1.291626,86.1996
10.44005,-0.8358186,1.308866,83.58186
10.46005,-0.809307,1.325582,80.93069
10.48005,-0.7824716,1.341769,78.24716
10.50005,-0.7553232,1.357418,75.53233
10.52005,-0.7278727,1.372524,72.78727
10.54005,-0.7001311,1.387082,70.01311
10.56005,-0.6721094,1.401085,67.21095
10.58005,-0.6438189,1.414527,64.38189
10.60005,-0.6152709,1.427403,61.52708
10.62005,-0.5864767,1.439708,58.64767
10.64005,-0.5574479,1.451438,55.74479
10.66005,-0.5281962,1.462587,52.81961
10.68005,-0.4987331,1.473151,49.87331
10.70006,-0.4690706,1.483126,46.90706
10.72006,-0.4392205,1.492507,43.92205
10.74006,-0.4091946,1.501291,40.91946
10.76006,-0.3790051,1.509475,37.90051
10.78006,-0.348664,1.517055,34.8664
10.80006,-0.3181835,1.524029,31.81835
10.82006,-0.2875756,1.530392,28.75756
10.84006,-0.2568527,1.536144,25.68527
10.86006,-0.2260271,1.541281,22.60271
10.88006,-0.1951111,1.545801,19.51111
10.90006,-0.164117,1.549704,16.4117
10.92006,-0.1330573,1.552986,13.30573
10.94006,-0.1019443,1.555647,10.19443
10.96006,-0.07079063,1.557686,7.079062
10.98006,-0.03960859,1.559102,3.960859
11.00006,-0.008410715,1.559894,0.8410715
11.02006,0.02279053,1.560062,-2.279052
11.04006,0.05398265,1.559606,-5.398265
11.06006,0.08515318,1.558527,-8.515318
11.08006,0.1162896,1.556823,-11.62896
11.10006,0.1473796,1.554498,-14.73796
11.12006,0.1784106,1.55155,-17.84106
11.14007,0.2093702,1.547982,-20.93702
11.16007,0.2402461,1.543795,-24.02461
11.18007,0.2710259,1.53899,-27.10259
11.20007,0.3016973,1.533569,-30.16973
11.22007,0.332248,1.527535,-33.2248
11.24007,0.3626658,1.52089,-36.26658
11.26007,0.3929386,1.513637,-39.29386
11.28007,0.4230542,1.505778,-42.30542
11.30007,0.4530005,1.497317,-45.30005
11.32007,0.4827656,1.488257,-48.27656
11.34007,0.5123376,1.478602,-51.23376
11.36007,0.5417047,1.468355,-54.17047
11.38007,0.5708551,1.457521,-57.08551
11.40007,0.5997772,1.446104,-59.97772
11.42007,0.6284594,1.434108,-62.84594
11.44007,0.6568902,1.421539,-65.68902
11.46007,0.6850582,1.408401,-68.50582
11.48007,0.7129522,1.3947,-71.29522
11.50007,0.740561,1.380441,-74.0561
11.52007,0.7678736,1.36563,-76.78736
11.54007,0.794879,1.350272,-79.4879
11.56007,0.8215665,1.334374,-82.15665
11.58008,0.8479254,1.317943,-84.79253
11.60008,0.8739451,1.300985,-87.39451
11.62008,0.8996152,1.283506,-89.96152
11.64008,0.9249254,1.265513,-92.49255
11.66008,0.9498658,1.247015,-94.98657
11.68008,0.9744261,1.228018,-97.44261
11.70008,0.9985967,1.208529,-99.85966
11.72008,1.022368,1.188557,-102.2368
11.74008,1.04573,1.16811,-104.573
11.76008,1.068674,1.147195,-106.8674
11.78008,1.09119,1.125822,-109.119
11.80008,1.11327,1.103998,-111.327
11.82008,1.134905,1.081732,-113.4905
11.84008,1.156086,1.059034,-115.6086
11.86008,1.176804,1.035913,-117.6804
11.88008,1.197051,1.012377,-119.7051
11.90008,1.21682,0.9884355,-121.682
11.92008,1.236102,0.9640991,-123.6102
11.94008,1.25489,0.9393771,-125.489
11.96008,1.273175,0.9142793,-127.3175
11.98008,1.290952,0.8888158,-129.0952
12.00008,1.308212,0.8629968,-130.8212
12.02009,1.324948,0.8368325,-132.4948
12.04009,1.341155,0.8103335,-134.1155
12.06009,1.356825,0.7835104,-135.6825
12.08009,1.371952,0.7563739,-137.1952
12.10009,1.386531,0.7289349,-138.6531
12.12009,1.400555,0.7012042,-140.0555
12.14009,1.414019,0.6731932,-141.4019
12.16009,1.426917,0.6449128,-142.6917
12.18009,1.439245,0.6163744,-143.9245
12.20009,1.450997,0.5875896,-145.0997
12.22009,1.462168,0.5585696,-146.2168
12.24009,1.472754,0.5293263,-147.2754
12.26009,1.482752,0.4998712,-148.2752
12.28009,1.492156,0.4702161,-149.2156
12.30009,1.500963,0.440373,-150.0963
12.32009,1.509171,0.4103537,-150.9171
12.34009,1.516774,0.3801703,-151.6774
12.36009,1.523771,0.3498348,-152.3771
12.38009,1.530158,0.3193594,-153.0158
12.40009,1.535933,0.2887563,-153.5933
12.42009,1.541094,0.2580376,-154.1094
12.44009,1.545638,0.2272157,-154.5638
12.4601,1.549564,0.196303,-154.9564
12.4801,1.55287,0.1653117,-155.287
12.5001,1.555555,0.1342543,-155.5555
